concept,pos_name,neg_name,feature_id,pos_activation,neg_activation,delta
aromatic_ring_any,benzene,cyclohexane,2049,0.0,0.0,0.0
aromatic_ring_any,naphthalene,decalin,2049,0.0,0.0,0.0
pyridine,pyridine,piperidine,2725,0.0,0.0,0.0
phenol,phenol,cyclohexanol,1189,1.210135579109192,6.058322906494141,-4.848187327384949
carboxylic_acid,acetic_acid,ethanol,2404,7.96126651763916,0.0,7.96126651763916
amine_primary,ethylamine,propane,2630,0.3383345603942871,1.039763331413269,-0.7014287710189819
amide,acetamide,acetic_acid,690,0.0,0.0,0.0
ester,methyl_acetate,acetic_acid,559,9.50727653503418,4.743649482727051,4.763627052307129
halogen_any,chlorobenzene,benzene,492,0.0,0.0,0.0
trifluoromethyl,trifluorotoluene,toluene,2872,8.70792007446289,0.0,8.70792007446289
nitro,nitrobenzene,benzene,1028,9.520817756652832,0.0,9.520817756652832
nitrile,benzonitrile,benzene,1004,6.4994940757751465,0.0,6.4994940757751465
chiral_center,L_alanine,alanine_achiral,1600,0.19982728362083435,0.7939904928207397,-0.5941632091999054
chiral_R_vs_S,D_alanine,L_alanine,2486,0.0,8.833008766174316,-8.833008766174316
ketone,acetone,isopropanol,2588,4.824645519256592,0.0,4.824645519256592
alkene,propene,propane,1741,0.0,0.0,0.0
alkyne,propyne,propane,2404,6.612032890319824,0.0,6.612032890319824
furan,furan,tetrahydrofuran,1142,6.652839660644531,2.205498695373535,4.447340965270996
thiophene,thiophene,thiolane,1247,0.4331749677658081,0.0,0.4331749677658081
