concept,layer_2,layer_4,layer_6,best_layer,best_lift
phenol,0.0,47.93863854266539,0.0,4,47.93863854266539
ketone,0.0,31.89227498228207,0.0,4,31.89227498228207
alkene,24.92522432701894,24.92522432701894,24.92522432701894,2,24.92522432701894
trifluoromethyl,24.679170779861796,24.679170779861796,24.679170779861796,2,24.679170779861796
nitrile,22.74904214559387,23.946360153256705,0.0,4,23.946360153256705
imidazole,0.0,0.0,23.696682464454977,6,23.696682464454977
bromine,22.893772893772898,18.315018315018317,22.893772893772898,2,22.893772893772898
furan,20.60156571899464,15.451174289245984,0.0,2,20.60156571899464
cyclopentane,0.0,17.329020332717192,17.329020332717192,4,17.329020332717192
cyclohexane,0.0,12.93103448275862,17.241379310344826,6,17.241379310344826
sulfide,14.0964195094446,0.0,14.0964195094446,2,14.0964195094446
sulfonamide,12.244897959183676,13.60544217687075,13.60544217687075,4,13.60544217687075
thiophene,13.220518244315178,0.0,10.576414595452142,2,13.220518244315178
ester,9.486465975208702,0.0,12.648621300278268,6,12.648621300278268
sulfonyl,10.486577181208052,10.486577181208052,10.486577181208052,2,10.486577181208052
alcohol,10.264832683227263,10.264832683227263,10.264832683227263,2,10.264832683227263
chlorine,7.695859627520394,7.695859627520394,7.695859627520394,2,7.695859627520394
ring_S,6.093102607847917,6.093102607847917,5.78844747745552,2,6.093102607847917
pyridine,5.947424765076722,5.947424765076722,5.947424765076722,2,5.947424765076722
amine_tertiary,5.556327267676067,4.861786359216557,5.209056813446312,2,5.556327267676067
fluorine,0.0,5.369992482010526,5.369992482010526,4,5.369992482010526
ring_O,3.935148748622698,3.935148748622698,3.935148748622698,2,3.935148748622698
halogen_any,2.2734161867232494,2.7280994240678993,3.0312215822976656,6,3.0312215822976656
aniline,2.7199042593700704,2.7199042593700704,2.7199042593700704,2,2.7199042593700704
ether,2.128293534244243,2.128293534244243,2.128293534244243,2,2.128293534244243
amide,1.6443041304919757,1.6443041304919757,1.6443041304919757,2,1.6443041304919757
aliphatic_ring,1.573960399156357,1.573960399156357,1.573960399156357,2,1.573960399156357
carbonyl_any,1.4566642388929352,1.4566642388929352,1.4566642388929352,2,1.4566642388929352
benzene,1.3610997686130393,1.3610997686130393,1.3610997686130393,2,1.3610997686130393
ring_N,1.267941370391033,1.267941370391033,1.267941370391033,2,1.267941370391033
aromatic_ring_any,1.076287239538488,1.076287239538488,1.076287239538488,2,1.076287239538488
chiral_center,1.0029084344599335,1.0029084344599335,1.0029084344599335,2,1.0029084344599335
